entry,type
Simon Bessie,person
Eric Linder,person
Silvano Ceccherini,person
Robin Healey,person
Eric Mosbacher,person
Collins,institution
Franco Antonicelli,person
Anna Foa,person
Laura Capon,person
Stuart J Woolf,person
Leonardo De Benedetti,person
Ann Goldstein,person
Einaudi,institution
"Little, Brown & Company",institution
Orion Press,institution
Collier Books,institution
Schocken Books,institution
Norton-Liveright,institution
Ca' Foscari University,institution
Charles Sanders Peirce,institution
William James,person
George Berkeley,person
Herbert Spencer,person
Walt Whitman,person
Dorothy Canfield Fisher,person
Pope Celestine VI,person
Henry Miller,person
Thomas Y Crowell Company Publishers,institution
"Harcourt, Brace & Company",institution
Books for Libraries Press,institution
Four and Twenty Minds Essays,institution
Cid Corman,person
Belen Sevareid,person
Origin,institution
Grossman Publishers,institution
Las Americas Publishing Co,institution
Italica Press,institution
American Association for Italian Studies,institution
Brigham Young University,institution
Darina Laracy,person
Melvin Lasky,person
Bread and Wine,institution
Harrison Smith & Robert Haas,institution
"Row, Peterson & Company",institution
Central Intelligence Agency,institution
Jack Murphy,person
Susan Sontag,person
Isak Dinesen,person
Leonard Michaels,person
Patricia M Gathercole,person
Edgar Allan Poe,person
Studies in Short Fictions,institution
The Dial Press,institution
Dover Publications,institution
Marino Moretti,person
Gino Montesanto,person
Enrico Panunzio,person
Michele Prisco,person
Hall Wheelock,person
Anthony West,person
Adrienne Foulke,person
Ivan Simonini,person
Michael Josselson,person
Irving Brown,person
Haakon Lie,person
Arthur Koestler,person
Eugen Kogon,person
Carlo Schmid,person
David Rousset,person
Georges Altman,person
Tosco Fyvel,person
Denis de Rougemont,person
Nicolas Nabokov,person
Irving Kristol,person
James Burnham,person
Francois Bondy,person
Julian Gorkin,person
Friedrich Torberg,person
Arthur Schlesinger,person
Richard Lowenthal,person
Edward Shils,person
Daniel Bell,person
Michael Polanyi,person
Karl Jaspers,person
John Dewey,person
Jacques Maritain,person
Bertrand Russell,person
A J Ayer,person
Czeslaw Milosz,person
Benedetto Croce,person
Cuadernos,institution
Cultural and Scientific Conference for World Peace in New York,institution
International Secretariat,institution
Alfred Rosmer,person
Jean-Paul Sartre,person
Aldo Captini,person
Riccardo Bauer,person
Ferdinando Tartaglia,person
Isaac Rosenfeld,person
John Knox Jessup,person
Delmore Schwartz,person
Saul Steinberg,person
Dorothy Thompson,person
Bertram Wolfe,person
Politics,institution
The Nation,institution
Revolution Proletarienne,institution
Friends of Russian Freedom,institution
Americans for Intellectual Freedom,institution
Edward M Cifelli,person
Nona Domenica Garnaro,person
Remigio Pane,person
Frances Carter,person
Rico Lebrun,person
Gustave Dore,person
Rutgers University Press,institution
Folkways Records,institution
Prix de Rome,institution
Kanthos Press,institution
Giuseppe Pella,person
Giuseppe Zarrillo,person
Cesare Zavattini,person
Marco Bellocchio,person
Bernardo Bertolucci,person
Enrico Cervelli,person
Mario Sironi,person
Eugenio Carmi,person
Grosvenor Gallery,institution
Finch College,institution
Cipriana Artom Scelba,person
Giuliano Amato,person
Franco Ferrarotti,person
Giovanni Sartori,person
Carlo Rubbia,person
Tullio Regge,person
James Buchanan,person
Edoardo Amaldi,person
Luigi Dallapiccola,person
Gianfranco Pasquino,person
Giandomenico Picco,person
Irene Bignardi,person
Laura Lilli,person
Richard Serra,person
Philip Pearlstein,person
Dale Chihuly,person
Lorin Maazel,person
Mark Strand,person
Irving Levine,person
Henry Millon,person
Agostino Lombardo,person
Biancamaria Tedeschini Lalli,person
US Department of State,institution
Igor Markevitch,person
Beniamino Gigli,person
Aldo Palazzeschi,person
Ambrosiana Library,institution
New York Herald Tribune,institution
International News Services,institution
Harvill Press,institution
Cassell & Company,institution
Faber and Faber,institution
Valentino Bompiani,person
Antonio Barfi,person
George Plimpton Adams,person
John Elof Boodin,person
Mary Whiton Calkins,person
Durant Drake,person
Arthur Oncken Lovejoy,person
Evander Bradley McGilvari,person
William Pepperell Montague,person
Ralph Barton Perry,person
Arthur Kenyon Rogers,person
Roy Wood Sellars,person
Charles Auguste Strong,person
Carlo Coardi,person
Nathaniel Hawthorne,person
Jack London,person
Emilio Cecchi,person
Patricia Highsmith,person
Thomas Pynchon,person
Corrado Alvaro,person
Giuseppe Cassieri,person
Tonino Guerra,person
Luigi Malerba,person
Ercole Patti,person
Ugo Pirro,person
Mario Pomilio,person
Bonaventura Tecchi,person
Idee Nuove,institution
H Fertig,institution
L C Page & Company,institution
Foreign Press Service,institution
Americana,institution
RCS Libri,institution
Bompiani Historical Library,institution
I numeri,institution
Arthur Hornblow,person
Georges Herelle,person
Stephan George,person
Arthur Symons,person
Arthur Livingston,person
Federico Vittore Nardelli,person
"Holt, Reinhart & Winston",institution
Harvey House,institution
Henry Luce,person
Ada MacLeish,person
Mary de Rachewiltz,person
Shakespeare and Company,institution
Library of Congress,institution
Office of Facts and Figures,institution
War's Toll of Italian Art exhibition,institution
Jean-Jacques Annaud,person
New York University,institution
Milan Polytechnic,institution
Siex & Barral,institution
Harvard University Press,institution
Indiana University Press,institution
Bennett Cerf,person
Donald Klopfer,person
Michael Wharf,person
Giose Rimanelli,person
Archibald Colquhoun,person
Danilo Dolci,person
Antonia Cowan,person
Erich Linder,person
Agenzia Letteraria Internazionale,institution
Bertelsmann,institution
Ada Louise Huxtable,person
Frank Snowden Jr,person
United States Information Agency,institution
Anna von Weiskopf-Weiskoppen,person
Calogero Tumminelli,person
Emiliano Peruzzi,person
Giosue Carducci,person
Olga Ragusa,person
Isa Ragusa,person
Istituto dell'Enciclopedia Italiana Treccani,institution
Treves-Treccani-Tumminelli publishing group,institution
SF Vanni Publishers and Booksellers,institution
Permanent Exhibition of Italian Books,institution
William Randolph Hearst,person
Carmel Snow,person
Elsa Schiaparelli,person
Joshua L Liebeman,person
Paolo Boringhieri,person
Charles Angoff,person
Clarence R Decker,person
Charles Norman,person
Francesco Bianchi,person
Ferdinando Virdia,person
Attilio Bertolucci,person
Giacinto Spagnoletti,person
Claudio Gorlier,person
Giuseppe Viviani,person
Marino Marini,person
Mino Maccari,person
Niccolo Machiavelli,person
Joseph Tusiani,person
Domenico Rea,person
Anna Banti,person
Gianna Manzini,person
Anna Maria Ortese,person
Maria Luisa Spaziani,person
Sandro Penna,person
Carlo Betocchi,person
Raffaele Carrieri,person
Libero De Libero,person
Ugo Fasolo,person
Rosina Cancellieri,person
Peter Sammartino,person
John Fischer,person
Josephine P Ferrante,person
Willard Trask,person
Eric Sellin,person
Charles Guenther,person
Fairleigh Dickinson University,institution
Channel 9,institution
St Louis Public Library,institution
Manyland Books,institution
Sergio Pacifici,person
Luciano Rebay,person
Isabella Gardner,person
Ivar Ivask,person
Andrew Wylie,person
Briarcliff Quarterly,institution
Anthology of Italian Poetry,institution
Imitations,institution
Premio Penna d'oro,institution
Poetry Center in New York,institution
Books Abroad University of Oklahoma Prize for Literature,institution
Neustadt International Prize for Literature,institution
William Benton,person
Edward W Barret,person
Dean Acheson,person
President Eisenhower,person
Theodore C Streibert,person
Clare Boothe Luce,person
Office of Government Report,institution
Coordinator of Inter-American Affairs,institution
Office of the Coordinator of Information,institution
Office of International Information and Cultural Affairs,institution
International Broadcasting Division,institution
International Press and Publication Division,institution
International Motion Picture Division,institution
International Exchange of Persons Division,institution
Division of Libraries and Institutes,institution
Smith-Mundt Act,institution
International Information Administration,institution
President's Committee on International Information Activities,institution
Jackson Committee,person
William M Kendall,person
John J Freschi,person
John Paterno,person
Anthony Campagna,person
Michael Paterno,person
Charles Paterno,person
